"",log2FC,lfcSE,Pvalues,FDR
GGB29468_SGB42247,30,3.0032,1.6955e-23,2.4084e-21
GGB31838_SGB45216,-30,3.0032,1.696e-23,2.4084e-21
Anaerotruncus_colihominis,29.187,3.0032,2.5085e-22,2.3747e-20
Staphylococcus_nepalensis,-28.874,3.0032,6.9466e-22,4.9321e-20
Jeotgalicoccus_halotolerans,28.618,3.0032,1.5832e-21,8.9924e-20
GGB28870_SGB41549,-27.833,3.0032,1.9001e-20,8.9936e-19
bacterium_1xD42_87,-27.061,3.0033,2.0532e-19,8.3301e-18
Facklamia_tabacinasalis,26.384,3.0032,1.5637e-18,5.0831e-17
Eubacterium_sp_14_2,-26.374,3.0033,1.6108e-18,5.0831e-17
GGB28382_SGB40962,25.595,3.0033,1.5618e-17,4.4356e-16
Corynebacterium_stationis,24.707,3.0034,1.9313e-16,4.9862e-15
Colidextribacter_sp_OB_20,20.726,3.0074,5.5112e-12,1.3043e-10
GGB28945_SGB41650,6.622,1.5897,3.106e-05,0.00067855
GGB42586_SGB59781,-5.5241,1.5293,0.00030358,0.0061584
GGB27866_SGB40300,-2.1576,0.65557,0.00099766,0.018889
GGB31440_SGB44770,-6.9303,2.1942,0.0015857,0.028146
GGB28846_SGB41513,4.0595,1.3088,0.0019249,0.032157
Bacteroides_acidifaciens,3.4563,1.1669,0.0030556,0.048211
GGB27876_SGB40310,-1.8326,0.6307,0.0036657,0.054792
GGB28996_SGB41712,4.3429,1.5727,0.0057544,0.081713
bacterium_1xD8_6,-4.1862,1.6816,0.012794,0.17302
GGB29622_SGB42426,-3.6176,1.4654,0.013558,0.17503
GGB30466_SGB43546,1.2418,0.52185,0.017334,0.21403
Firmicutes_bacterium_ASF500,2.2626,0.96362,0.018873,0.22333
Ligilactobacillus_murinus,3.3774,1.4504,0.019878,0.22581
GGB28766_SGB41416,4.8527,2.099,0.020785,0.22703
GGB28849_SGB41516,2.7665,1.2114,0.022385,0.23546
GGB29546_SGB42338,6.3699,2.8855,0.027276,0.27665
GGB28356_SGB40934,-6.0879,2.8879,0.035027,0.34302
GGB28990_SGB41704,5.9054,2.8855,0.040702,0.37533
GGB28929_SGB41629,5.698,2.7943,0.041439,0.37533
GGB29003_SGB41719,-5.6741,2.7942,0.042291,0.37533
GGB28968_SGB41679,1.7218,0.86933,0.04763,0.4099
GGB29549_SGB42343,5.464,2.8854,0.058268,0.48671
Clostridium_cocleatum,3.6296,1.9501,0.062706,0.50881
GGB29001_SGB41717,1.8793,1.018,0.064878,0.51182
Clostridiaceae_bacterium,2.0428,1.1216,0.068567,0.5263
Lachnospiraceae_bacterium_28_4,3.4154,1.9507,0.079971,0.59767
GGB29002_SGB41718,1.9539,1.1522,0.08991,0.64395
GGB28949_SGB41656,2.2843,1.3503,0.090698,0.64395
GGB28853_SGB41521,-2.2011,1.3155,0.094302,0.65321
Prevotella_sp_MGM1,-1.0973,0.66721,0.10005,0.67652
GGB28787_SGB41440,-4.2419,2.6447,0.10873,0.71037
Streptococcus_danieliae,1.9079,1.2025,0.11261,0.71037
Lachnospiraceae_bacterium_A4,2.6429,1.6884,0.1175,0.71037
GGB27778_SGB40192,-1.2571,0.80459,0.11818,0.71037
Adlercreutzia_muris,1.3647,0.89106,0.12563,0.71037
Odoribacter_sp_Z80,-0.85262,0.55692,0.12578,0.71037
Paramuribaculum_intestinale,-1.1666,0.7653,0.12742,0.71037
GGB28782_SGB41435,2.4112,1.5847,0.12812,0.71037
Dorea_sp_5_2,1.9739,1.3016,0.12939,0.71037
bacterium_1XD21_13,-1.7119,1.1308,0.13007,0.71037
GGB30444_SGB43493,-3.756,2.5169,0.13561,0.72669
