"",log2FC,lfcSE,Pvalues,FDR
GGB28870_SGB41549,-29.161,3.0032,2.7308e-22,6.9363e-20
GGB28792_SGB41445,-28.127,3.0032,7.5489e-21,9.5871e-19
GGB31179_SGB44472,5.7686,1.0109,1.1541e-08,9.7716e-07
Bacteroides_acidifaciens,5.7375,1.156,6.9339e-07,4.403e-05
Clostridium_cocleatum,7.5774,1.59,1.8816e-06,9.5587e-05
Turicimonas_muris,3.9175,0.8739,7.3662e-06,0.00031184
GGB28945_SGB41650,6.7888,1.6381,3.409e-05,0.001237
GGB28846_SGB41513,5.0477,1.2745,7.4761e-05,0.0023737
GGB42586_SGB59781,-5.5899,1.4496,0.00011516,0.00325
Ligilactobacillus_murinus,5.2473,1.4702,0.00035827,0.0091001
GGB28849_SGB41516,5.0414,1.4801,0.00065914,0.014918
GGB33432_SGB65123,3.2747,0.96663,0.0007048,0.014918
GGB27885_SGB40319,3.1423,1.0107,0.0018765,0.036663
GGB28894_SGB41575,-4.0341,1.3068,0.0020218,0.036682
GGB28968_SGB41679,3.1422,1.0625,0.0031042,0.052564
GGB28949_SGB41656,3.4463,1.2529,0.0059496,0.089061
Lachnospiraceae_bacterium_A4,4.7056,1.7161,0.0061052,0.089061
Streptococcus_danieliae,3.6085,1.3212,0.0063114,0.089061
GGB31184_SGB44478,2.8665,1.0568,0.0066767,0.089256
GGB28766_SGB41416,4.9001,1.8263,0.0072961,0.089703
Dorea_sp_5_2,2.4454,0.91331,0.0074164,0.089703
GGB29622_SGB42426,-4.5111,1.7094,0.0083162,0.096014
GGB42619_SGB59815,-4.0523,1.5609,0.0094296,0.10414
GGB27893_SGB40327,2.2196,0.86555,0.010335,0.10938
Duncaniella_muris,1.8527,0.7316,0.011328,0.11257
Adlercreutzia_caecicola,1.6926,0.66995,0.011523,0.11257
Adlercreutzia_muris,2.1356,0.87196,0.014319,0.1347
Muribaculum_intestinale,1.9462,0.80108,0.01512,0.13716
GGB29003_SGB41719,-6.3934,2.6496,0.015824,0.1386
GGB29001_SGB41717,2.3047,1.0054,0.02189,0.18533
GGB28934_SGB41635,-2.6349,1.1624,0.023396,0.18947
Lactobacillus_taiwanensis,2.6783,1.1855,0.02387,0.18947
Clostridiales_bacterium,3.6771,1.6465,0.025531,0.19089
GGB30466_SGB43546,1.5166,0.6792,0.025553,0.19089
Lachnospiraceae_bacterium,1.6764,0.76225,0.027862,0.2022
Lachnospiraceae_bacterium_28_4,4.6455,2.1908,0.033967,0.23293
bacterium_1xD8_6,-3.4491,1.6295,0.03429,0.23293
Clostridiaceae_bacterium,2.289,1.0848,0.034847,0.23293
GGB31440_SGB44770,-5.7043,2.7397,0.037334,0.24315
GGB28996_SGB41712,3.3848,1.6376,0.038739,0.24599
GGB28802_SGB41455,-4.007,1.9529,0.040185,0.24895
GGB31841_SGB45219,5.2535,2.5907,0.042575,0.25748
GGB28853_SGB41521,-3.0638,1.5561,0.048962,0.28922
Firmicutes_bacterium_ASF500,2.0153,1.0378,0.052139,0.29264
Prevotella_sp_MGM1,1.3139,0.67757,0.052485,0.29264
GGB25052_SGB36974,2.3967,1.2387,0.052998,0.29264
GGB28786_SGB41439,-3.4371,1.7907,0.054936,0.29689
Limosilactobacillus_reuteri,2.1621,1.1919,0.069664,0.36864
GGB28398_SGB40979,-3.0749,1.7139,0.072796,0.37735
GGB29546_SGB42338,4.4678,2.5581,0.080718,0.4036
GGB28911_SGB41605,-4.3739,2.5302,0.083867,0.4036
GGB28791_SGB41444,-2.0056,1.1605,0.083962,0.4036
GGB28392_SGB40972,-4.9828,2.8857,0.084215,0.4036
GGB30457_SGB43521,-2.477,1.4627,0.090358,0.42502
GGB28787_SGB41440,-3.21,1.909,0.092665,0.42794
GGB28903_SGB41594,-2.0226,1.2241,0.098481,0.44668
GGB29002_SGB41718,2.1226,1.3062,0.10415,0.46413
GGB30460_SGB43526,2.1752,1.3711,0.11264,0.49327
GGB28852_SGB41519,1.6142,1.0262,0.11571,0.49814
GGB31438_SGB44768,-1.3352,0.85623,0.11891,0.50338
GGB28946_SGB41652,-2.3482,1.5366,0.12647,0.52014
GGB30295_SGB43259,-2.7381,1.7941,0.12696,0.52014
GGB30448_SGB43503,2.4662,1.6755,0.14106,0.56871
GGB30454_SGB43516,-2.3126,1.6028,0.14907,0.59164
GGB28621_SGB41239,1.2619,0.89268,0.15747,0.61533
GGB27778_SGB40192,-1.222,0.87696,0.1635,0.62921
Oscillibacter_sp_1_3,-1.714,1.2647,0.17533,0.66467
Muribaculaceae_bacterium,0.97546,0.73267,0.18306,0.6838
Roseburia_sp_1XD42_69,-2.1558,1.6304,0.18608,0.68498
GGB28766_SGB41417,-1.1382,0.89001,0.20093,0.70072
GGB29683_SGB42492,-2.5328,1.9922,0.2036,0.70072
bacterium_1XD42_76,1.7239,1.3755,0.21011,0.70072
GGB28963_SGB41672,1.6431,1.3204,0.21334,0.70072
GGB27782_SGB40196,1.1458,0.92286,0.2144,0.70072
GGB28879_SGB41559,-2.4468,1.976,0.21562,0.70072
GGB29531_SGB42317,0.81032,0.65638,0.217,0.70072
GGB30473_SGB43557,0.57986,0.47016,0.21745,0.70072
bacterium_1XD21_13,-1.5163,1.2368,0.22022,0.70072
GGB28784_SGB41437,-3.536,2.8855,0.22041,0.70072
GGB30466_SGB43541,0.93774,0.76768,0.22189,0.70072
bacterium_D16_63,-1.5565,1.2786,0.22346,0.70072
Enterorhabdus_sp_P55,0.80298,0.66796,0.22931,0.71031
GGB27866_SGB40300,-0.87848,0.74447,0.23799,0.71119
GGB28926_SGB41623,0.88629,0.75588,0.24099,0.71119
GGB28782_SGB41435,1.0472,0.89767,0.24338,0.71119
GGB27892_SGB40326,0.74811,0.64182,0.24378,0.71119
Eggerthellaceae_bacterium,0.6875,0.58995,0.24387,0.71119
Lachnospiraceae_bacterium_MD335,2.3923,2.0639,0.2464,0.71119
Muribaculum_gordoncarteri,1.0142,0.88854,0.25367,0.71831
Lachnospiraceae_bacterium_MD329,2.4902,2.1854,0.25452,0.71831
Turicibacter_sp_TS3,-1.0498,0.93938,0.26376,0.72933
