"",log2FC,lfcSE,Pvalues,FDR
Prevotella_sp_MGM1,3.2598,0.44474,2.3084e-13,5.8634e-11
GGB28792_SGB41445,-15.329,2.1437,8.6404e-13,1.0973e-10
Clostridiales_bacterium,4.8436,0.86565,2.2028e-08,1.8651e-06
Muribaculum_gordoncarteri,3.0959,0.57488,7.2314e-08,4.5919e-06
GGB31179_SGB44472,5.0765,0.9577,1.1536e-07,5.8601e-06
GGB31184_SGB44478,4.6558,0.89076,1.7254e-07,7.3044e-06
GGB24148_SGB35952,1.9304,0.37192,2.0987e-07,7.6154e-06
GGB27849_SGB40283,2.4283,0.51001,1.923e-06,6.1054e-05
GGB27885_SGB40319,2.7854,0.59519,2.8717e-06,7.6795e-05
GGB27893_SGB40327,2.3441,0.50202,3.0234e-06,7.6795e-05
GGB28790_SGB41443,-4.0183,0.90066,8.1369e-06,0.00018789
GGB28791_SGB41444,-4.6109,1.0465,1.0517e-05,0.00022262
GGB27892_SGB40326,1.9592,0.45364,1.5683e-05,0.00030643
GGB31841_SGB45219,11.332,2.6838,2.4193e-05,0.00043893
Muribaculum_intestinale,2.5613,0.60933,2.6275e-05,0.00044492
GGB24146_SGB35950,1.8777,0.4533,3.4382e-05,0.00054581
GGB33432_SGB65123,4.024,0.97971,4.0027e-05,0.00059805
Adlercreutzia_caecicola,1.5788,0.40851,0.00011122,0.0015695
GGB14001_SGB21428,1.8703,0.48631,0.00012009,0.0016054
Bacteroides_acidifaciens,2.7163,0.72587,0.00018244,0.002317
Odoribacter_sp_Z80,1.4372,0.38778,0.00021043,0.0025452
Muribaculaceae_bacterium,1.6661,0.48048,0.00052498,0.0060611
GGB30454_SGB43516,-2.0706,0.60742,0.00065255,0.0072064
GGB28996_SGB41712,-1.9333,0.5978,0.0012202,0.012421
GGB28870_SGB41545,-2.0596,0.63693,0.0012225,0.012421
Emergencia_sp_1XD21_10,1.2819,0.39923,0.0013228,0.012923
Atopobiaceae_bacterium_FL090493,5.2159,1.6436,0.0015061,0.014168
Paramuribaculum_intestinale,1.5338,0.48565,0.0015875,0.014401
GGB27782_SGB40196,2.3022,0.74052,0.0018774,0.016443
GGB28888_SGB41569,-1.9592,0.64289,0.0023079,0.01954
GGB28904_SGB41597,-1.1904,0.39199,0.0023912,0.019593
Acutalibacter_muris,-2.8329,0.93788,0.002523,0.020026
GGB27872_SGB40306,1.6903,0.56331,0.0026934,0.020731
Lachnospiraceae_bacterium,0.85027,0.2936,0.0037788,0.02823
Eggerthellaceae_bacterium,1.5392,0.53527,0.0040332,0.029269
GGB24149_SGB35953,1.4873,0.52031,0.0042567,0.030033
Duncaniella_dubosii,1.4994,0.53261,0.0048742,0.032742
bacterium_1XD21_13,-1.1532,0.40987,0.0049003,0.032742
GGB47127_SGB65054,1.5589,0.55572,0.0050274,0.032742
GGB28934_SGB41635,-1.7835,0.66849,0.0076313,0.048458
Duncaniella_freteri,1.4125,0.53518,0.0083098,0.05148
Parasutterella_sp_NM82_D38,2.1747,0.83222,0.0089705,0.05425
GGB28779_SGB41432,1.4809,0.56865,0.0092062,0.054381
GGB24132_SGB35935,1.4564,0.57283,0.011006,0.063535
GGB28903_SGB41594,-2.0257,0.81229,0.012637,0.071331
GGB30448_SGB43504,-1.3363,0.54674,0.014517,0.080158
Turicimonas_muris,4.6541,1.9208,0.015392,0.08318
Clostridiaceae_bacterium,-1.6582,0.7048,0.018635,0.09861
GGB30461_SGB43533,-1.3021,0.55604,0.019191,0.099481
bacterium_0_1xD8_82,1.4103,0.61521,0.021885,0.11118
GGB30457_SGB43521,-2.7904,1.2559,0.026296,0.13096
GGB30466_SGB43541,-1.42,0.64786,0.028386,0.13661
GGB28870_SGB41546,-2.3167,1.0596,0.028783,0.13661
GGB28955_SGB41663,-1.5508,0.71181,0.029352,0.13661
Limosilactobacillus_reuteri,1.3644,0.62711,0.02958,0.13661
GGB30145_SGB43072,-1.2327,0.57789,0.032909,0.14444
GGB27876_SGB40310,1.3665,0.6407,0.032938,0.14444
GGB28831_SGB41487,-1.2887,0.60437,0.032983,0.14444
GGB27861_SGB40295,1.1484,0.54184,0.034052,0.14544
GGB28782_SGB41435,-3.2741,1.5474,0.034357,0.14544
Lactobacillus_taiwanensis,1.3445,0.6418,0.036188,0.15068
GGB30460_SGB43526,1.259,0.61482,0.040576,0.16474
GGB30473_SGB43557,0.59845,0.29265,0.040861,0.16474
GGB30303_SGB43268,-2.3764,1.1711,0.042444,0.16845
GGB29001_SGB41717,-1.3568,0.68332,0.047074,0.18395
Clostridium_cocleatum,4.5762,2.3129,0.047871,0.18423
GGB28428_SGB41011,-1.6793,0.85312,0.049021,0.18584
GGB29549_SGB42343,-5.5244,2.8854,0.055543,0.20747
GGB42586_SGB59781,-1.7149,0.91197,0.060054,0.22107
GGB29683_SGB42492,-4.797,2.5614,0.061097,0.22169
GGB28927_SGB41625,-1.0081,0.54029,0.062061,0.22202
GGB28784_SGB41437,-5.3645,2.8855,0.063014,0.2223
GGB28894_SGB41575,-3.4673,1.879,0.065001,0.22617
GGB30295_SGB43259,-2.6221,1.4389,0.068403,0.23479
GGB28392_SGB40972,-4.0162,2.2177,0.070142,0.23755
GGB28772_SGB41425,2.2931,1.2712,0.071245,0.23811
Enterorhabdus_sp_P55,0.68425,0.38855,0.078233,0.25807
Lachnospiraceae_bacterium_A2,-2.1295,1.228,0.082908,0.26998
Duncaniella_muris,2.2277,1.3043,0.087648,0.2818
GGB28433_SGB41016,-1.8717,1.1019,0.089411,0.28388
GGB28409_SGB40991,1.2929,0.76473,0.090896,0.28503
Adlercreutzia_caecimuris,0.81619,0.48579,0.092937,0.28788
